YEAR,TERM,NUMB,SUBJ,TITLE
1,1,121Z,WR,Composition I
1,2,201Z,PSY,Intro to Psychology I
1,3,202Z,PSY,Intro to Psychology II
1,3,123,WR,College Composit III
2,3,243Z,STAT,Elem Statistics I
2,3,301,PSY,Scientific Thinking
3,1,302,PSY,Statistical Meth Psych
3,2,303,PSY,Research Meth Psych
