SUBJ,NUMB,TITLE
AEIS,108,Adv Read Acad Discours
AEIS,110,Intro Academic Writing
AEIS,111,Intermed Academic Writ
AEIS,112,Adv Academic Writing
AEIS,199,Sp St College Connect
AEIS,610,Academic Writing
AFR,199,Sp St Afr Hlth/Disease
AFR,215,Intro African Studies
AFR,401,Res HC Thesis
AFR,403,Thesis
AFR,404,Intern Global Health
AFR,405,Read Afr Literature
AFR,605,Read Pol Identity Afr
AIM,605,Read Social Media Mgmt
AIM,607,Sem Electronic Info
AIM,609,Terminal Project
AIM,610,SEM Managerial Acctg
AIM,642,Manag Org Tech Envir
AIM,646,Bus Solut with Tech
AIM,654,Info Design & Commun
AIM,656,Info Design Trends
AIM,665,Project Management
AIM,668,Info Systems & Mgmt
ANTH,110,Trad Eco Knowledge
ANTH,114,Anth Pirates & Piracy
ANTH,119,Anthropology & Aliens
ANTH,145,Princ of Archaeology
ANTH,150,World Archaeology
ANTH,161,Intro Cultural Anth
ANTH,162,Intro to Medical Anth
ANTH,163,Origin of Storytelling
ANTH,165,Sexuality & Culture
ANTH,170,Intro Human Origins
ANTH,171,Intro Monkeys & Apes
ANTH,173,Evol Human Sexuality
ANTH,175,Evolutionary Medicine
ANTH,176,Intro to Forensic Anth
ANTH,199,Sp St Evolution of War
ANTH,199L,Sp St Indig Archeology
ANTH,220,Intro Nutritional Anth
ANTH,223,Anthropol of Chocolate
ANTH,224M,Intro African Diaspora
ANTH,243,Island Archaeology
ANTH,248,Archaeology Wild Foods
ANTH,250,Intro Mid East Studies
ANTH,255,Atlantis Aliens Archae
ANTH,260,Domestic Animals
ANTH,270,Intro Biological Anth
ANTH,274,Animals and People
ANTH,278,Scientific Racism
ANTH,280,Intro Lang & Culture
ANTH,310,Top Arch of Monuments
ANTH,311,Anth of Globalization
ANTH,314,Gender Cross-Cul Persp
ANTH,315,Gend/Folk/Inequality
ANTH,320,Native North Americans
ANTH,322,Anthropology of the US
ANTH,326,Caribbean Societies
ANTH,328,New Guinea
ANTH,329,Immigrat & Farmworkers
ANTH,330,Hunters & Gatherers
ANTH,331,Culture India & S Asia
ANTH,332,Hum Attrct & Mat Strat
ANTH,340,Fund of Archaeology
ANTH,341,Food Origins
ANTH,342,Arch Egypt & Near East
ANTH,343,Pacif Island Archaeol
ANTH,344,Oregon Archaeology
ANTH,345,Archaeology of E Asia
ANTH,346,Archaeology SE Asia
ANTH,347,Archaeo Ancient Cities
ANTH,349,Origins of Art
ANTH,361,Human Evolution
ANTH,362,Human Biol Variation
ANTH,365,Food and Culture
ANTH,366,Human Osteology Lab
ANTH,369,Human Growth & Devel
ANTH,373,Psychoact Sub Anc Soc
ANTH,375,Primate in Ecol Commun
ANTH,376,Genomics and Anthro
ANTH,399,Sp St Decolonizing Arc
ANTH,399L,Sp St California Arch
ANTH,400M,Intro Ethnogra Methods
ANTH,401,Res Oseology Lab
ANTH,403,Thesis
ANTH,405,Read Adv Genetics
ANTH,406,Sp Pr Adv Primate Beh
ANTH,408,Fld Wrk Thai Cuisine
ANTH,409,Prac Trans Analysis
ANTH,410,Top Pacific Is Studies
ANTH,411,"Pol, Ethn, Nationalism"
ANTH,413,Culture & Psychology
ANTH,414,Activist Anthropology
ANTH,415,Human Life History
ANTH,417,Field Meth Cultur Anth
ANTH,419,"Perform, Pol & Folkl"
ANTH,420,"Cultur, Illness & Heal"
ANTH,424,Feminist Methods Anth
ANTH,427M,Latino Roots I
ANTH,428M,Latino Roots II
ANTH,429,Jewish Folklore & Ethn
ANTH,430,Balkan Soc & Folklore
ANTH,431,Plants and People
ANTH,434,Native South Americans
ANTH,438,Race & Gender Lat Amer
ANTH,441,Recent Cultur Theo
ANTH,442,NW Coast Archaeology
ANTH,443,N Amer Archaeology
ANTH,444,Seacoast & Prehistory
ANTH,446,Practica Archaeobotany
ANTH,448,Gender & Archaeology
ANTH,449,Cultural Resource Mgmt
ANTH,450,Anthropology Museum
ANTH,453,African Archaeology
ANTH,456,Peopling Americas
ANTH,459,Adv Evolutionary Med
ANTH,462,Primate Evolution
ANTH,463,Primate Behavior
ANTH,466,Primate Feed & Nutrit
ANTH,467,Paleoecol Human Evol
ANTH,468,Evolutionary Theory
ANTH,470,Stat Analy Biol Anth
ANTH,471,Top Zooarch: NW Coast
ANTH,472,Primate Conserv Biol
ANTH,473,Adv Forensic Anthropol
ANTH,474,Hum Skeletal Pathology
ANTH,475,Regarding Remains
ANTH,479,Taphonomy
ANTH,481,Princ Evol Psychology
ANTH,487,Bioanthropology Method
ANTH,488,Found Social Theory
ANTH,493,Anth & Popular Culture
ANTH,500M,Intro Ethnogra Methods
